"id","name","value","product_id"
"1","Форм-фактор","моноблок","1"
"2","Кількість SIM-карт","1 SIM + e-sim","1"
"3","Формат SIM-карти","e-sim, Nano","1"
"4","Покоління зв'язку (2G /3G/4G/5G)","2G, 3G, 4G, 5G","1"
"5","Тип дисплея","OLED","1"
"6","Діагональ екрану","6.1""","1"
"7","Роздільна здатність екрану","1179 х 2556","1"
"8","Частота оновлення екрану","60 Гц","1"
"9","Процесор","Apple A16 Bionic","1"
"10","Кількість ядер","6 core","1"
"11","Вбудована пам'ять","128 Gb","1"
"12","Кількість модулів основної камери","2","1"
"13","Основна камера","48 + 12 Mpx","1"
"14","Діафрагма основної камери","f/1.6 + f/2.4","1"
"15","Метод стабілізації","оптична","1"
"16","Запис відео основної камери","4K / 3840x2160 / стереозвук","1"
"17","Кількість модулів фронтальної камери","1","1"
"18","Фронтальна камера","12 Mpx","1"
"19","Діафрагма фронтальної камери","f/1.9","1"
"20","Функції камери","панорама, розпізнавання обличчя, геотегінг, спалах, автофокус","1"
"21","Операційна система","iOS 17","1"
"22","Мультимедіа","FM-радіо, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр, ігри","1"
"23","Органайзер","калькулятор, телефонна книга, диктофон, секундомір, нотатки, будильник, світовий час, годинник, календар","1"
"24","Бездротові підключення","Bluetooth, WI-FI, NFC","1"
"25","Навігація","BeiDou, Galileo, QZSS, iBeacon, GPS, A-GPS","1"
"26","Інтерфейси і підключення","USB Type-C","1"
"27","Особливості","IP68 certified","1"
"28","Вбудовані датчики","датчик освітлення, компас, акселерометр, датчик наближення, гіроскоп, барометр","1"
"29","Безпека","FaceID","1"
"30","Оснащення","пило/вологозахист, гіроскоп, бездротове заряджання","1"
"31","Розміри (мм)","147.6 x 71.6 x 7.80 мм","1"
"32","Вага","171 г","1"
"33","Колір","чорний","1"
"34","Особливості корпусу","водонепроникні","1"
"35","Виробник","Apple","1"
"36","Модель","iPhone 15 128GB Black","1"
"37","Артикул","MTP03","1"
"38","Гарантія, міс","12","1"
"39","Штрихкод","195949036019","1"
"40","Примітка","Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження","1"
